ad_item_name,raw_ad_text,page_number,notes
Sweet Corn,Sweet Corn 8/$4 FOR 8 MEMBER PRICE,1,food-like ad text with no watchlist match
USDA Choice Boneless Beef Tri Tip Roast Untrimmed Twin Pack,USDA Choice Boneless Beef Tri Tip Roast Untrimmed Twin Pack 5.99 LB MEMBER PRICE,1,food-like ad text with no watchlist match
Signature SELECT 90% Lean Ground Beef,Signature SELECT 90% Lean Ground Beef VALUE PACK 6.99 LB MEMBER PRICE,1,food-like ad text with no watchlist match
Waterfront Bistro Shrimp,"Waterfront Bistro Shrimp 16-20 ct, 16 oz Frozen 6.99 MEMBER PACK",1,food-like ad text with no watchlist match
Dave's Killer Bagels,Dave's Killer Bagels or English Muffins or Thomas' Sliced Bread 20-28 oz Selected varieties 4.99 MEMBER PRICE,1,food-like ad text with no watchlist match
English Muffins,Dave's Killer Bagels or English Muffins or Thomas' Sliced Bread 20-28 oz Selected varieties 4.99 MEMBER PRICE,1,food-like ad text with no watchlist match
Thomas' Sliced Bread,Dave's Killer Bagels or English Muffins or Thomas' Sliced Bread 20-28 oz Selected varieties 4.99 MEMBER PRICE,1,food-like ad text with no watchlist match
Yoplait Yogurt,Yoplait Yogurt or Protein Yogurt 4-6 oz Selected varieties 39¢ EA MEMBER PRICE,1,food-like ad text with no watchlist match
Protein Yogurt,Yoplait Yogurt or Protein Yogurt 4-6 oz Selected varieties 39¢ EA MEMBER PRICE,1,food-like ad text with no watchlist match
Signature SELECT Sandwich,Signature SELECT Sandwich or Skippy Peanut Butter 15-16.3 oz 99¢ EA MEMBER PRICE,1,food-like ad text with no watchlist match
Skippy Peanut Butter,Signature SELECT Sandwich or Skippy Peanut Butter 15-16.3 oz 99¢ EA MEMBER PRICE,1,food-like ad text with no watchlist match
"Quaker Chewy Granola Bars 5-8 ct, Cap'n Crunch","Quaker Chewy Granola Bars 5-8 ct, Cap'n Crunch or Life Cereal 13-18 oz Instant Oatmeal 6-14 ct Selected varieties 1.99 EA MEMBER PRICE",1,food-like ad text with no watchlist match
Life Cereal 13-18 oz Instant Oatmeal 6-14 ct,"Quaker Chewy Granola Bars 5-8 ct, Cap'n Crunch or Life Cereal 13-18 oz Instant Oatmeal 6-14 ct Selected varieties 1.99 EA MEMBER PRICE",1,food-like ad text with no watchlist match
PopCorners,"Ruffles, Doritos, SunChips or PopCorners 4.5-8.25 oz Selected varieties 2.49 EA MEMBER PRICE",1,food-like ad text with no watchlist match
Barilla Pasta,Barilla Pasta 12-16 oz Selected varieties 4/$5 MEMBER PRICE,1,food-like ad text with no watchlist match
"Lucerne Sliced Cheese 6-8 oz, Lucerne Shredded Cheese 5-8 oz","Lucerne® Sliced Cheese 6-8 oz, Lucerne® Shredded Cheese 5-8 oz 5.99 EA MEMBER PRICE",1,food-like ad text with no watchlist match
"Chips Ahoy! Cookies 7-13 oz, Nabisco Snack Crackers 3.5-9.1 oz, Triscuit Crackers 7-8.5 oz, Kettle Potato Chips 5-8.5 oz","Chips Ahoy! Cookies 7-13 oz, Nabisco Snack Crackers 3.5-9.1 oz, Triscuit Crackers 7-8.5 oz, Kettle Potato Chips 5-8.5 oz 2.99 EA MEMBER PRICE",1,food-like ad text with no watchlist match
Honeycrisp Apples,Honeycrisp Apples 2.99 lb Member Price,2,food-like ad text with no watchlist match
Halo Top Ice Cream,Halo Top Ice Cream 2.57 Member Price,2,food-like ad text with no watchlist match
Lay's Potato Chips,Lay's Potato Chips or Kettle Cooked Chips BUY 1 GET 1 FREE Member Price,2,food-like ad text with no watchlist match
USDA Choice Boneless Beef Tri Tip Steak,USDA Choice Boneless Beef Tri Tip Steak 9.99 lb Member Price,2,food-like ad text with no watchlist match
Foster Farms Fresh & Natural Chicken Leg Quarters,Foster Farms Fresh & Natural Chicken Leg Quarters 10 lb bag 0.99 lb Member Price,2,food-like ad text with no watchlist match
Jennie-O Ground Chicken,Jennie-O Ground Chicken 7.99 Member Price,2,food-like ad text with no watchlist match
Fresh Sockeye Salmon Fillets,Fresh Sockeye Salmon Fillets 16.99 lb Member Price,2,food-like ad text with no watchlist match
Green,Green or Red Seedless Grapes 4.99 lb Member Price Every Day,2,food-like ad text with no watchlist match
Private Selection Turkey,Private Selection Turkey or Cheddar Cheese 9.99 Member Price,2,food-like ad text with no watchlist match
Cheddar Cheese,Private Selection Turkey or Cheddar Cheese 9.99 Member Price,2,food-like ad text with no watchlist match
Gourmet Cookies,Gourmet Cookies or Sticky Buns 8.99 Member Price,2,food-like ad text with no watchlist match
Sticky Buns,Gourmet Cookies or Sticky Buns 8.99 Member Price,2,food-like ad text with no watchlist match
